date,year,month,latitude,longitude,co_ppm,aod_unitless,region
2010-01-01,2010,1,25.0,75.0,0.95,0.729,IGP
2010-01-01,2010,1,25.0,76.07,1.447,1.957,IGP
2010-01-01,2010,1,25.0,77.14,0.877,0.715,IGP
2010-01-01,2010,1,25.0,78.21,1.058,0.865,IGP
2010-01-01,2010,1,25.0,79.29,0.853,0.831,IGP
2010-01-01,2010,1,25.0,80.36,0.854,0.68,IGP
2010-01-01,2010,1,25.0,81.43,0.924,0.463,IGP
2010-01-01,2010,1,25.0,82.5,0.728,0.666,IGP
2010-01-01,2010,1,25.0,83.57,0.799,0.797,IGP
2010-01-01,2010,1,25.0,84.64,1.214,1.076,IGP
2010-01-01,2010,1,25.0,85.71,1.047,0.716,IGP
2010-01-01,2010,1,25.0,86.79,0.907,0.536,IGP
2010-01-01,2010,1,25.0,87.86,1.268,1.533,IGP
2010-01-01,2010,1,25.0,88.93,0.785,0.806,IGP
2010-01-01,2010,1,25.0,90.0,0.84,0.706,IGP
2010-01-01,2010,1,25.56,75.0,0.84,1.028,IGP
2010-01-01,2010,1,25.56,76.07,0.899,0.591,IGP
2010-01-01,2010,1,25.56,77.14,0.982,0.567,IGP
2010-01-01,2010,1,25.56,78.21,0.921,0.456,IGP
2010-01-01,2010,1,25.56,79.29,1.151,1.559,IGP
2010-01-01,2010,1,25.56,80.36,0.974,0.776,IGP
2010-01-01,2010,1,25.56,81.43,0.888,0.705,IGP
2010-01-01,2010,1,25.56,82.5,0.752,0.642,IGP
2010-01-01,2010,1,25.56,83.57,0.854,0.909,IGP
2010-01-01,2010,1,25.56,84.64,0.934,0.486,IGP
2010-01-01,2010,1,25.56,85.71,0.932,0.692,IGP
2010-01-01,2010,1,25.56,86.79,0.832,0.842,IGP
2010-01-01,2010,1,25.56,87.86,1.003,0.89,IGP
2010-01-01,2010,1,25.56,88.93,0.816,0.704,IGP
2010-01-01,2010,1,25.56,90.0,0.933,0.896,IGP
2010-01-01,2010,1,26.11,75.0,0.852,0.722,IGP
2010-01-01,2010,1,26.11,76.07,0.789,0.571,IGP
2010-01-01,2010,1,26.11,77.14,0.981,0.953,IGP
2010-01-01,2010,1,26.11,78.21,0.893,0.901,IGP
2010-01-01,2010,1,26.11,79.29,0.936,0.653,IGP
2010-01-01,2010,1,26.11,80.36,1.5,1.581,IGP
2010-01-01,2010,1,26.11,81.43,1.5,1.585,IGP
2010-01-01,2010,1,26.11,82.5,0.638,0.873,IGP
